原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 9月13日（周六），北京地铁线网客运量为828.65万人次，上海地铁客运量为638.8万人次，广州地铁客运量为638.4万人次，深圳地铁线网客运量为263.32万人次，南京地铁客运量为149万人次。,2014/9/15,9,13,周六,638.8,263.32,828.65, , ,638.4, , ,149, , , 
#地铁客流排行榜# 9月12日（周五），北京地铁线网客运量为1082.49万人次，上海地铁客运量为887.2万人次，广州地铁客运量为678.4万人次，深圳地铁线网客运量为301.78万人次，南京地铁客运量为154.2万人次。,2014/9/15,9,12,周五,887.2,301.78,1082.49, , ,678.4, , ,154.2, , , 
#地铁客流排行榜# 9月11日（周四），北京地铁线网客运量为1027.7万人次，上海地铁客运量为850.4万人次，广州地铁客运量为630.7万人次，深圳地铁线网客运量为286.33万人次，南京地铁客运量为140.1万人次。,2014/9/12,9,11,周四,850.4,286.33,1027.7, , ,630.7, , ,140.1, , , 
#地铁客流排行榜# 9月10日（周三），北京地铁线网客运量为1037.14万人次，上海地铁客运量为843.2万人次，广州地铁客运量为637.1万人次，深圳地铁线网客运量为283.66万人次，南京地铁客运量为140.4万人次。,2014/9/11,9,10,周三,843.2,283.66,1037.14, , ,637.1, , ,140.4, , , 
#地铁客流排行榜# 9月9日（周二），北京地铁线网客运量为1050.33万人次，上海地铁客运量为849.6万人次，广州地铁客运量为676.4万人次，深圳地铁线网客运量为298万人次，南京地铁客运量为147.6万人次。,2014/9/10,9,9,周二,849.6,298,1050.33, , ,676.4, , ,147.6, , , 
#地铁客流排行榜# 9月8日（周一，放假），北京地铁线网客运量为807.51万人次，广州地铁客运量为657.2万人次，上海地铁客运量为638.1万人次，深圳地铁线网客运量为295.47万人次，南京地铁客运量为133.2万人次。,2014/9/9,9,8,周一，放假,638.1,295.47,807.51, , ,657.2, , ,133.2, , , 
#地铁客流排行榜# 9月7日（周日），北京地铁线网客运量为776.38万人次，上海地铁客运量为677.3万人次，广州地铁客运量为670.6万人次，深圳地铁线网客运量为314.78万人次，南京地铁客运量为141.69万人次。,2014/9/9,9,7,周日,677.3,314.78,776.38, , ,670.6, , ,141.69, , , 
#地铁客流排行榜# 9月6日（周l六），北京地铁线网客运量为835.71万人次，上海地铁客运量为687.74万人次，广州地铁客运量为672.6万人次，深圳地铁线网客运量为279.37万人次，南京地铁客运量为155.24万人次。,2014/9/9,9,6,周l六,687.74,279.37,835.71, , ,672.6, , ,155.24, , , 
#地铁客流排行榜# 9月5日（周五），北京地铁线网客运量为1167.23万人次，上海地铁客运量为922.4万人次，广州地铁客运量为709.6万人次，深圳地铁线网客运量为321.59万人次，南京地铁客运量为164.77万人次。,2014/9/9,9,5,周五,922.4,321.59,1167.23, , ,709.6, , ,164.77, , , 
#地铁客流排行榜# 9月4日（周四），北京地铁线网客运量为1076.01万人次，上海地铁客运量为863.3万人次，广州地铁客运量为639.2万人次，深圳地铁线网客运量为288.37万人次，南京地铁客运量为145.9万人次。,2014/9/5,9,4,周四,863.3,288.37,1076.01, , ,639.2, , ,145.9, , , 
#地铁客流排行榜# 9月3日（周三），北京地铁线网客运量为1079.3万人次，上海地铁客运量为814.58万人次，广州地铁客运量为630.6万人次，深圳地铁线网客运量为297.55万人次，南京地铁客运量为145.6万人次。,2014/9/4,9,3,周三,814.58,297.55,1079.3, , ,630.6, , ,145.6, , , 
#地铁客流排行榜# 9月2日（周二），北京地铁线网客运量为972.02万人次，上海地铁客运量为937.2万人次，广州地铁客运量为626.7万人次，深圳地铁线网客运量为291.07万人次，南京地铁客运量为141.3万人次。,2014/9/4,9,2,周二,937.2,291.07,972.02, , ,626.7, , ,141.3, , , 
#地铁客流排行榜# 9月1日（周一），北京地铁线网客运量为1032.6万人次，上海地铁客运量为826.7万人次，广州地铁客运量为644.7万人次，深圳地铁线网客运量为295.24万人次，南京地铁客运量为141.9万人次。,2014/9/2,9,1,周一,826.7,295.24,1032.6, , ,644.7, , ,141.9, , , 
#地铁客流排行榜# 8月31日（周日），北京地铁线网客运量为754.47万人次，广州地铁客运量为612.2万人次，上海地铁客运量为596.78万人次，深圳地铁线网客运量为279.24万人次，南京地铁客运量为120.2万人次。,2014/9/1,8,31,周日,596.78,279.24,754.47, , ,612.2, , ,120.2, , , 
#地铁客流排行榜# 8月29日（周五），北京地铁线网客运量为1096.21万人次，上海地铁客运量为873.1万人次，广州地铁客运量为691.8万人次，深圳地铁线网客运量为314.02万人次，南京地铁客运量为156.28万人次。,2014/8/30,8,29,周五,873.1,314.02,1096.21, , ,691.8, , ,156.28, , , 
#地铁客流排行榜# 8月28日（周四），北京地铁线网客运量为1064万人次，上海地铁客运量为859.8万人次，广州地铁客运量为650.9万人次，深圳地铁线网客运量为300.76万人次，南京地铁客运量为144.7万人次。,2014/8/29,8,28,周四,859.8,300.76,1064, , ,650.9, , ,144.7, , , 
#地铁客流排行榜# 8月27日（周三），北京地铁线网客运量为1078.13万人次，上海地铁客运量为849.5万人次，广州地铁客运量为658.6万人次，深圳地铁线网客运量为306.36万人次，南京地铁客运量为141万人次。,2014/8/28,8,27,周三,849.5,306.36,1078.13, , ,658.6, , ,141, , , 
#地铁客流排行榜# 8月26日（周二），北京地铁线网客运量为1090.74万人次，上海地铁客运量为868.4万人次，广州地铁客运量为665.1万人次，深圳地铁线网客运量为307.26万人次，南京地铁客运量为147万人次。,2014/8/27,8,26,周二,868.4,307.26,1090.74, , ,665.1, , ,147, , , 
#地铁客流排行榜# 8月25日（周一），北京地铁线网客运量为1091.86万人次，上海地铁客运量为861.5万人次，广州地铁客运量为680万人次，深圳地铁线网客运量为306.08万人次，南京地铁客运量为146.8万人次。,2014/8/26,8,25,周一,861.5,306.08,1091.86, , ,680, , ,146.8, , , 
#地铁客流排行榜# 8月24日（周日），北京地铁线网客运量为795.9万人次，广州地铁客运量为642.3万人次，上海地铁客运量为618.5万人次，深圳地铁线网客运量为300.54万人次，南京地铁客运量为118.5万人次。,2014/8/25,8,24,周日,618.5,300.54,795.9, , ,642.3, , ,118.5, , , 
#地铁客流排行榜# 8月21日（周四），北京地铁线网客运量为1103.73万人次，上海地铁客运量为909.9万人次，广州地铁客运量为647.6万人次，深圳地铁线网客运量为304.62万人次，南京地铁客运量为148万人次。,2014/8/22,8,21,周四,909.9,304.62,1103.73, , ,647.6, , ,148, , , 
#地铁客流排行榜# 8月19日（周二），北京地铁线网客运量为1115.5万人次，上海地铁客运量为826.72万人次，广州地铁客运量为645.2万人次，深圳地铁线网客运量为300.66万人次，南京地铁客运量为148.7万人次。,2014/8/20,8,19,周二,826.72,300.66,1115.5, , ,645.2, , ,148.7, , , 
#地铁客流排行榜# 8月18日（周一），北京地铁线网客运量为1116.4万人次，上海地铁客运量为859.2万人次，广州地铁客运量为697.1万人次，深圳地铁线网客运量为304.56万人次，南京地铁客运量为148.3万人次。,2014/8/19,8,18,周一,859.2,304.56,1116.4, , ,697.1, , ,148.3, , , 
#地铁客流排行榜# 8月12日（周二），北京地铁线网客运量为1106.93万人次，上海地铁客运量为860.5万人次，广州地铁客运量为640.4万人次，深圳地铁线网客运量为302.6万人次，南京地铁客运量为149.1万人次。,2014/8/13,8,12,周二,860.5,302.6,1106.93, , ,640.4, , ,149.1, , , 
#地铁客流排行榜# 8月11日（周一），北京地铁线网客运量为1100.92万人次，上海地铁客运量为871.4万人次，广州地铁客运量为657.9万人次，深圳地铁线网客运量为308.91万人次，南京地铁客运量为144.9万人次。,2014/8/12,8,11,周一,871.4,308.91,1100.92, , ,657.9, , ,144.9, , , 
#地铁客流排行榜# 8月10日（周日），北京地铁线网客运量为815.75万人次，上海地铁客运量为632.49万人次，广州地铁客运量为608.1万人次，深圳地铁线网客运量为303.79万人次，南京地铁客运量为123.4万人次。,2014/8/11,8,10,周日,632.49,303.79,815.75, , ,608.1, , ,123.4, , , 
地铁客流排行榜#8月7日（周四），北京地铁线网客运量为1089万人次，上海地铁客运量为845万人次，广州地铁客运量为624.4万人次，深圳地铁线网客运量为298.8万人次，南京地铁客运量为133.8万人次。,2014/8/8,8,7,周四,845,298.8,1089, , ,624.4, , ,133.8, , , 
#地铁客流排行榜# 8月6日（周三），北京地铁线网客运量为1103.47万人次，上海地铁客运量为847.8万人次，广州地铁客运量为631.6万人次，深圳地铁线网客运量为303.27万人次，南京地铁客运量为130.6万人次。,2014/8/7,8,6,周三,847.8,303.27,1103.47, , ,631.6, , ,130.6, , , 
#地铁客流排行榜# 8月5日（周二），北京地铁线网客运量为1103.86万人次，上海地铁客运量为851.2万人次，广州地铁客运量为644万人次，深圳地铁线网客运量为306.23万人次，南京地铁客运量为134.8万人次。,2014/8/6,8,5,周二,851.2,306.23,1103.86, , ,644, , ,134.8, , , 
关于 #地铁客流排行榜# 的声明，第一，没想到会有这么多人关注，是好事；第二，我要说明，不同的角度会有不能的解读，属正常；第三，博主本人最先想到的只是提供一个客观的“数据”，方便从整体上把握中国内地城市轨道交通运营的现状，至于如何解读、评价这些数据，是下一步的问题，也欢迎大家发表见解！,2014/8/5, , , , , , , , , , , , , , , 
#地铁客流排行榜# 8月4日（周一），北京地铁线网客运量为1053万人次，上海地铁客运量为855.8万人次，广州地铁客运量为648.4万人次，深圳地铁线网客运量为311万人次，南京地铁客运量为140.1万人次。,2014/8/5,8,4,周一,855.8,311,1053, , ,648.4, , ,140.1, , , 
#地铁客流排行榜# 8月3日（周日），北京地铁线网客运量为798.62万人次，上海地铁客运量为649.8万人次，广州地铁客运量为630.6万人次，深圳地铁线网客运量为316万人次，南京地铁客运量为122.8万人次。,2014/8/5,8,3,周日,649.8,316,798.62, , ,630.6, , ,122.8, , , 
#地铁客流排行榜# 7月31日（周四），北京地铁线网客运量为1092.87万人次，上海地铁客运量为871.5万人次，广州地铁客运量为652.6万人次，深圳地铁线网客运量为304.37人次，南京地铁客运量为134.9万人次。,2014/8/1,7,31,周四,871.5,134.9,1092.87, , ,652.6, , ,134.9, , , 
#地铁客流排行榜# 7月29日（周二），北京地铁线网客运量为1101万人次，上海地铁客运量为871万人次，广州地铁客运量为651万人次，深圳地铁线网客运量为308人次，南京地铁客运量为140万人次。,2014/7/30,7,29,周二,871,140,1101, , ,651, , ,140, , , 
#地铁客流排行榜# 7月28日（周一），北京地铁线网客运量为1095.2万人次，上海地铁客运量为866.2万人次，广州地铁客运量为665.7万人次，深圳地铁线网客运量为315.87人次，南京地铁客运量为144万人次。,2014/7/29,7,28,周一,866.2,144,1095.2, , ,665.7, , ,144, , , 
#地铁客流排行榜# 7月24日（周四），北京地铁线网客运量为1096万人次，上海地铁客运量为854.5万人次，广州地铁客运量为644.9万人次，深圳地铁线网客运量为306人次，南京地铁客运量为136万人次。,2014/7/25,7,24,周四,854.5,136,1096, , ,644.9, , ,136, , , 
#地铁客流排行榜# 7月23日（周三），北京地铁线网客运量为1115.77万人次，上海地铁客运量为861.6万人次，广州地铁客运量为659.3万人次，深圳地铁线网客运量为313.19人次，南京地铁客运量为135.3万人次。,2014/7/24,7,23,周三,861.6,135.3,1115.77, , ,659.3, , ,135.3, , , 
#地铁客流排行榜# 7月16日（周三），北京地铁线网客运量为1146.63万人次，上海地铁客运量为900.5万人次，广州地铁客运量为692.4万人次，深圳地铁线网客运量为325.52人次，南京地铁客运量为147.7万人次。,2014/7/17,7,16,周三,900.5,147.7,1146.63, , ,692.4, , ,147.7, , , 
#地铁客流排行榜# 6月19日（周四），北京地铁线网客运量为1030.15万人次，上海地铁客运量为839.4万人次，广州地铁客运量为615.8万人次，深圳地铁线网客运量为281.63人次，南京地铁客运量为132万人次。,2014/6/20,6,19,周四,839.4,132,1030.15, , ,615.8, , ,132, , , 
#地铁客流排行榜# 6月18日（周三），北京地铁线网客运量为1036.53万人次，上海地铁客运量为843.6万人次，广州地铁客运量为616万人次，深圳地铁线网客运量为288.62人次，南京地铁客运量为133.6万人次。,2014/6/19,6,18,周三,843.6,133.6,1036.53, , ,616, , ,133.6, , , 
#地铁客流排行榜# 6月17日（周二），北京地铁线网客运量为1026.22万人次，上海地铁客运量为808.9万人次，广州地铁客运量为599.2万人次，深圳地铁线网客运量为282.8人次，南京地铁客运量为130.3万人次。,2014/6/18,6,17,周二,808.9,130.3,1026.22, , ,599.2, , ,130.3, , , 
#地铁客流排行榜# 6月16日（周一），北京地铁线网客运量为1023.64万人次，上海地铁客运量为821.8万人次，广州地铁客运量为634.7万人次，深圳地铁线网客运量为290.55人次，南京地铁客运量为128.8万人次。,2014/6/17,6,16,周一,821.8,128.8,1023.64, , ,634.7, , ,128.8, , , 
#地铁客流排行榜# 6月15日（周日），北京地铁线网客运量为734.19万人次，广州地铁客运量为611.3万人次，上海地铁客运量为601.6万人次，深圳地铁线网客运量为275人次，南京地铁客运量为113.1万人次。,2014/6/16,6,15,周日,601.6,113.1,734.19, , ,611.3, , ,113.1, , , 
#地铁客流排行榜# 6月14日（周六），北京地铁线网客运量为791.43万人次，上海地铁客运量为654万人次，广州地铁客运量为630.3万人次，深圳地铁线网客运量为271.18万人次，南京地铁客运量为120.9万人次。,2014/6/16,6,14,周六,654,271.18,791.43, , ,630.3, , ,120.9, , , 
#地铁客流排行榜# 6月13日（周五），北京地铁线网客运量为1052.1万人次，上海地铁客运量为864.1万人次，广州地铁客运量为660.8万人次，深圳地铁线网客运量为302.93万人次，南京地铁客运量为138.3万人次。,2014/6/14,6,13,周五,864.1,302.93,1052.1, , ,660.8, , ,138.3, , , 
#地铁客流排行榜# 6月12日（周四），北京地铁线网客运量为1023.39万人次，上海地铁客运量为829.8万人次，广州地铁客运量为620.1万人次，深圳地铁线网客运量为279.9万人次，南京地铁客运量为126.4万人次。,2014/6/13,6,12,周四,829.8,279.9,1023.39, , ,620.1, , ,126.4, , , 
#地铁客流排行榜# 6月11日（周三），北京地铁线网客运量为1033.85万人次，上海地铁客运量为826.2万人次，广州地铁客运量为582.8万人次，深圳地铁线网客运量为282.32万人次，南京地铁客运量为126.5万人次。,2014/6/12,6,11,周三,826.2,282.32,1033.85, , ,582.8, , ,126.5, , , 
#地铁客流排行榜# 6月10日（周二），北京地铁线网客运量为1020.93万人次，上海地铁客运量为824.9万人次，广州地铁客运量为611.8万人次，深圳地铁线网客运量为282.21万人次，南京地铁客运量为126.5万人次。,2014/6/11,6,10,周二,824.9,282.21,1020.93, , ,611.8, , ,126.5, , , 
#地铁客流排行榜# 6月9日（周一），北京地铁线网客运量为1031.45万人次，上海地铁客运量为816万人次，广州地铁客运量为620.5万人次，深圳地铁线网客运量为285.48万人次，南京地铁客运量为125.2万人次。,2014/6/10,6,9,周一,816,285.48,1031.45, , ,620.5, , ,125.2, , , 
#地铁客流排行榜# 6月8日（周日），北京地铁线网客运量为700.62万人次，上海地铁客运量为588.1万人次，广州地铁客运量为571.7万人次，深圳地铁线网客运量为258.52万人次，南京地铁客运量为109万人次。,2014/6/9,6,8,周日,588.1,258.52,700.62, , ,571.7, , ,109, , , 
#地铁客流排行榜# 6月7日（周六），北京地铁线网客运量为792.5万人次，上海地铁客运量为646.4万人次，广州地铁客运量为579.9万人次，深圳地铁线网客运量为256.45万人次，南京地铁客运量为123.6万人次。,2014/6/9,6,7,周六,646.4,256.45,792.5, , ,579.9, , ,123.6, , , 
#地铁客流排行榜# 6月6日（周五），北京地铁线网客运量为993.28万人次，上海地铁客运量为866.9万人次，广州地铁客运量为621.7万人次，深圳地铁线网客运量为287.41万人次，南京地铁客运量为137.8万人次。,2014/6/9,6,6,周五,866.9,287.41,993.28, , ,621.7, , ,137.8, , , 
#地铁客流排行榜# 6月5日（周四），北京地铁线网客运量为1012.46万人次，上海地铁客运量为822万人次，广州地铁客运量为590万人次，深圳地铁线网客运量为272.32万人次，南京地铁客运量为127万人次。,2014/6/9,6,5,周四,822,272.32,1012.46, , ,590, , ,127, , , 
#地铁客流排行榜# 6月4日（周三），北京地铁线网客运量为1002.44万人次，上海地铁客运量为812.6万人次，广州地铁客运量为593.2万人次，深圳地铁线网客运量为278.45万人次。,2014/6/5,6,4,周三,812.6,278.45,1002.44, , ,593.2, , , , , , 
#地铁客流排行榜# 6月3日（周二），北京地铁线网客运量为1020.92万人次，上海地铁客运量为816.7万人次，广州地铁客运量为603.8万人次，深圳地铁线网客运量为285.86万人次，南京地铁客运量为131.1万人次。,2014/6/5,6,3,周二,816.7,285.86,1020.92, , ,603.8, , ,131.1, , , 
#地铁客流排行榜# 6月2日（周一，放假），北京地铁线网客运量为778.27万人次，广州地铁客运量为669.7万人次，上海地铁客运量为621.7万人次，深圳地铁线网客运量为314.2万人次，南京地铁客运量为119.2万人次。,2014/6/3,6,2,周一，放假,621.7,314.2,778.27, , ,669.7, , ,119.2, , , 
#地铁客流排行榜# 6月1日（周日），北京地铁线网客运量为760万人次，广州地铁客运量为675.9万人次，上海地铁客运量为529.2万人次，深圳地铁线网客运量为335.7万人次，南京地铁客运量为90万人次。,2014/6/3,6,1,周日,529.2,335.7,760, , ,675.9, , ,90, , , 
#地铁客流排行榜# 5月31日（周六），北京地铁线网客运量为795.29万人次，上海地铁客运量为679.3万人次，广州地铁客运量为642.7万人次，深圳地铁线网客运量为286.83万人次，南京地铁客运量为119.1万人次。,2014/6/3,5,31,周六,679.3,286.83,795.29, , ,642.7, , ,119.1, , , 
#地铁客流排行榜# 5月30日（周五），北京地铁线网客运量为1103.26万人次，上海地铁客运量为898万人次，广州地铁客运量为692.7万人次，深圳地铁线网客运量为314.28万人次，南京地铁客运量为154万人次。,2014/6/3,5,30,周五,898,314.28,1103.26, , ,692.7, , ,154, , , 
#地铁客流排行榜# 5月29日（周四），北京地铁线网客运量为1033.87万人次，上海地铁客运量为834.6万人次，广州地铁客运量为609.8万人次，深圳地铁线网客运量为282.16万人次，南京地铁客运量为130.6万人次。,2014/5/30,5,29,周四,834.6,282.16,1033.87, , ,609.8, , ,130.6, , , 
#地铁客流排行榜# 5月28日（周三），北京地铁线网客运量为1038.27万人次，上海地铁客运量为833.1万人次，广州地铁客运量为6604.3万人次，深圳地铁线网客运量为280.13万人次，南京地铁客运量为130.8万人次。,2014/5/29,5,28,周三,833.1,280.13,1038.27, , ,6604.3, , ,130.8, , , 
#地铁客流排行榜# 5月27日（周二），北京地铁线网客运量为1033.38万人次，上海地铁客运量为825.5万人次，广州地铁客运量为620.7万人次，深圳地铁线网客运量为278.78万人次，南京地铁客运量为129.3万人次。,2014/5/28,5,27,周二,825.5,278.78,1033.38, , ,620.7, , ,129.3, , , 
#地铁客流排行榜# 5月26日（周一），北京地铁线网客运量为1049万人次，上海地铁客运量为825万人次，广州地铁客运量为614.2万人次，深圳地铁线网客运量为283.7万人次，南京地铁客运量为130.6万人次。,2014/5/27,5,26,周一,825,283.7,1049, , ,614.2, , ,130.6, , , 
#地铁客流排行榜# 5月25日（周日），北京地铁线网客运量为793.04万人次，上海地铁客运量为581.7万人次，广州地铁客运量为613.6万人次，深圳地铁线网客运量为274.46万人次，南京地铁客运量为120.5万人次。,2014/5/26,5,25,周日,581.7,274.46,793.04, , ,613.6, , ,120.5, , , 
#地铁客流排行榜# 5月21日（周三），北京地铁线网客运量为1048.45万人次，上海地铁客运量为775.3万人次，广州地铁客运量为584.9万人次，深圳地铁线网客运量为281.05万人次，南京地铁客运量为131.4万人次。,2014/5/22,5,21,周三,775.3,281.05,1048.45, , ,584.9, , ,131.4, , , 
#地铁客流排行榜# 5月20日（周二），北京地铁线网客运量为1063.67万人次，上海地铁客运量为878.7万人次，广州地铁客运量为610.1万人次，深圳地铁线网客运量为272.06万人次，南京地铁客运量为135.2万人次。,2014/5/21,5,20,周二,878.7,272.06,1063.67, , ,610.1, , ,135.2, , , 
#地铁客流排行榜# 5月19日（周一），北京地铁线网客运量为1048.01万人次，上海地铁客运量为831万人次，广州地铁客运量为598.1万人次，深圳地铁线网客运量为283.52万人次，南京地铁客运量为132万人次。,2014/5/20,5,19,周一,831,283.52,1048.01, , ,598.1, , ,132, , , 
地铁客流排行榜#5月18日（周日），北京地铁线网客运量为814.55万人次，上海地铁客运量为610.3万人次，广州地铁客运量为589.4万人次，深圳地铁线网客运量为271.54万人次，南京地铁客运量为129.7万人次。,2014/5/19,5,18,周日,610.3,271.54,814.55, , ,589.4, , ,129.7, , , 
地铁客流排行榜#5月17日（周六），北京地铁线网客运量为862.29万人次，上海地铁客运量为639.5万人次，广州地铁客运量为620.2万人次，深圳地铁线网客运量为279.22万人次，南京地铁客运量为135.5万人次。,2014/5/19,5,17,周六,639.5,279.22,862.29, , ,620.2, , ,135.5, , , 
地铁客流排行榜#5月16日（周五），北京地铁线网客运量为1111.38万人次，上海地铁客运量为896.9万人次，广州地铁客运量为647.1万人次，深圳地铁线网客运量为305.258万人次，南京地铁客运量为147.9万人次。,2014/5/19,5,16,周五,896.9,305.258,1111.38, , ,647.1, , ,147.9, , , 
地铁客流排行榜#5月13日（周二），北京地铁线网客运量为1053.14万人次，上海地铁客运量为850.1万人次，广州地铁客运量为597.6万人次，深圳地铁线网客运量为294.08万人次，南京地铁客运量为130.2万人次。,2014/5/14,5,13,周二,850.1,294.08,1053.14, , ,597.6, , ,130.2, , , 
地铁客流排行榜#5月8日（周四），北京地铁线网客运量为1040.24万人次，上海地铁客运量为843万人次，广州地铁客运量为564.8万人次，深圳地铁线网客运量为268万人次，南京地铁客运量为131万人次。,2014/5/9,5,8,周四,843,268,1040.24, , ,564.8, , ,131, , , 
地铁客流排行榜#5月7日（周三），北京地铁线网客运量为1035万人次，上海地铁客运量为836.4万人次，广州地铁客运量为547.2万人次，深圳地铁线网客运量为266.74万人次，南京地铁客运量为132.8万人次。,2014/5/9,5,7,周三,836.4,266.74,1035, , ,547.2, , ,132.8, , , 
地铁客流排行榜#5月6日（周二），北京地铁线网客运量为1040.21万人次，上海地铁客运量为834.3万人次，广州地铁客运量为570.5万人次，深圳地铁线网客运量为265.6万人次，南京地铁客运量为132万人次。,2014/5/7,5,6,周二,834.3,265.6,1040.21, , ,570.5, , ,132, , , 
#地铁客流排行榜# 5月5日（周一），北京地铁线网客运量为1040万人次，上海地铁客运量为826.5万人次，广州地铁客运量为581.5万人次，深圳地铁线网客运量为273.55万人次，南京地铁客运量为132.9万人次。,2014/5/6,5,5,周一,826.5,273.55,1040, , ,581.5, , ,132.9, , , 
#地铁客流排行榜# 5月4日（周日，上班），北京地铁线网客运量为982.05万人次，上海地铁客运量为737万人次，广州地铁客运量为603.8万人次，深圳地铁线网客运量为270.78万人次，南京地铁客运量为128.3万人次。,2014/5/5,5,4,周日，上班,737,270.78,982.05, , ,603.8, , ,128.3, , , 
#地铁客流排行榜# 5月3日（周六，放假），北京地铁线网客运量为843.01万人次，上海地铁客运量为653.1万人次，广州地铁客运量为640.3万人次，深圳地铁线网客运量为276.99万人次，南京地铁客运量为144.6万人次。,2014/5/4,5,3,周六，放假,653.1,276.99,843.01, , ,640.3, , ,144.6, , , 
#地铁客流排行榜# 5月1日（周四，放假），北京地铁线网客运量为979.26万人次，上海地铁客运量为815.9万人次，广州地铁客运量为794.2万人次，深圳地铁线网客运量为347.18万人次，南京地铁客运量为169.5万人次。,2014/5/3,5,1,周四，放假,815.9,347.18,979.26, , ,794.2, , ,169.5, , , 
#地铁客流排行榜# 5月2日（周五，放假），北京地铁线网客运量为893.11万人次，上海地铁客运量为748.8万人次，广州地铁客运量为759.8万人次，深圳地铁线网客运量为329.23万人次，南京地铁客运量为152.3万人次。,2014/5/3,5,2,周五，放假,748.8,329.23,893.11, , ,759.8, , ,152.3, , , 
#地铁客流排行榜# 4月30日（周三），北京地铁线网客运量为1190.1万人次，上海地铁客运量为938.1万人次，广州地铁客运量为740.9万人次，深圳地铁线网客运量为329.87万人次，南京地铁客运量为173.8万人次。,2014/5/3,4,30,周三,938.1,329.87,1190.1, , ,740.9, , ,173.8, , , 
更正 #地铁客流排行榜# 4月29日（周二），北京地铁线网客运量为1098.09万人次，上海地铁客运量为855.8万人次，广州地铁客运量为630.6万人次，深圳地铁线网客运量为277.69万人次，南京地铁客运量为143.5万人次。,2014/5/3,4,29,周二,855.8,277.69,1098.09, , ,630.6, , ,143.5, , , 
#地铁客流排行榜# 4月29日（周二），北京地铁线网客运量为1098.09人次，上海地铁客运量为855.8万人次，广州地铁客运量为630.6万人次，深圳地铁线网客运量为277.69万人次，南京地铁客运量为143.5万人次。,2014/4/30,4,29,周二,855.8,277.69,855.8, , ,630.6, , ,143.5, , , 
#地铁客流排行榜# 4月28日（周一），北京地铁线网客运量为1089.27人次，上海地铁客运量为836.7万人次，广州地铁客运量为627.8万人次，深圳地铁线网客运量为284.17万人次，南京地铁客运量为137万人次。,2014/4/29,4,28,周一,836.7,284.17,836.7, , ,627.8, , ,137, , , 
#地铁客流排行榜# 4月27日（周日），北京地铁线网客运量为854.04人次，广州地铁客运量为621.2万人次，上海地铁客运量为601.9万人次，深圳地铁线网客运量为270.55万人次，南京地铁客运量为121.2万人次。,2014/4/28,4,27,周日,601.9,270.55,621.2, , ,621.2, , ,121.2, , , 
#地铁客流排行榜# 4月26日（周六），北京地铁线网客运量为918.66人次，广州地铁客运量为585.2万人次，上海地铁客运量为547.6万人次，深圳地铁线网客运量为267.81万人次，南京地铁客运量为133.1万人次。,2014/4/28,4,26,周六,547.6,267.81,585.2, , ,585.2, , ,133.1, , , 
#地铁客流排行榜# 4月25日（周五），北京地铁线网客运量为1133.61人次，上海地铁客运量为900.2万人次，广州地铁客运量为676.4万人次，深圳地铁线网客运量为303.69万人次，南京地铁客运量为142.5万人次。,2014/4/28,4,25,周五,900.2,303.69,900.2, , ,676.4, , ,142.5, , , 
#地铁客流排行榜# 4月23日（周三），北京地铁线网客运量为1076.05人次，上海地铁客运量为868.8万人次，广州地铁客运量为591.5万人次，深圳地铁线网客运量为277.14万人次，南京地铁客运量为137万人次,2014/4/25,4,23,周三,868.8,277.14,868.8, , ,591.5, , ,137, , , 
#地铁客流排行榜# 4月24日（周四），北京地铁线网客运量为1075.2人次，上海地铁客运量为854.8万人次，广州地铁客运量为615.5万人次，深圳地铁线网客运量为274.91万人次，南京地铁客运量为135.6万人次,2014/4/25,4,24,周四,854.8,274.91,854.8, , ,615.5, , ,135.6, , , 
#地铁客流排行榜# 4月22日（周二），北京地铁线网客运量为1088.26人次，上海地铁客运量为836.9万人次，广州地铁客运量为615.3万人次，深圳地铁线网客运量为278.14万人次，南京地铁客运量为135.5万人次,2014/4/23,4,22,周二,836.9,278.14,836.9, , ,615.3, , ,135.5, , , 
#地铁客流排行榜# 4月21日（周一），北京地铁线网客运量为1087.47人次，上海地铁客运量为821.9万人次，广州地铁客运量为636.7万人次，深圳地铁线网客运量为29073万人次，南京地铁客运量为130.3万人次,2014/4/22,4,21,周一,821.9,29073,821.9, , ,636.7, , ,130.3, , , 
#地铁客流排行榜# 4月20日（周日），北京地铁线网客运量约为864.39万人次，广州地铁客运量为670.2万人次，上海地铁客运量为660.2万人次，深圳地铁线网客运量为296.8万人次，南京地铁客运量为133.5万人次。,2014/4/21,4,20,周日,660.2,296.8,864.39, , ,670.2, , ,133.5, , , 
#地铁客流排行榜# 4月19日（周六），北京地铁线网客运量约为859.67万人次，广州地铁客运量为707万人次，上海地铁客运量为635.8万人次，深圳地铁线网客运量为301.75万人次，南京地铁客运量为133.2万人次。,2014/4/21,4,19,周六,635.8,301.75,859.67, , ,707, , ,133.2, , , 
#地铁客流排行榜# 4月18日（周五），北京地铁线网客运量为11124.57人次，上海地铁客运量为905.8万人次，广州地铁客运量为706.2万人次，深圳地铁线网客运量为327.2万人次，南京地铁客运量为151.9万人次。,2014/4/21,4,18,周五,905.8,327.2,905.8, , ,706.2, , ,151.9, , , 
