原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 8月17日（周三），北京地铁路网客运量1176.8万，上海地铁客运量1043.5万，广州地铁客运量729.3万，深圳地铁路网客运量367.7万，南京地铁客运量216.6万，武汉地铁客运量180.9万，成都地铁客运量176.5万，西安地铁客运量99万。,2016/8/18,8,17,周三,1043.5,367.7,1176.8, ,180.9,729.3, , ,216.6,176.5,99, 
#地铁客流排行榜# 8月16日（周二），北京地铁路网客运量1217万，上海地铁客运量1042万，广州地铁客运量716.7万，深圳地铁路网客运量371.3万，南京地铁客运量225.7万，武汉地铁客运量184.9万，成都地铁客运量180万，西安地铁客运量100万。,2016/8/17,8,16,周二,1042,371.3,1217, ,184.9,716.7, , ,225.7,180,100, 
#地铁客流排行榜# 8月15日（周一），北京地铁路网客运量1161.37万，上海地铁客运量1039.6万，广州地铁客运量738.2万，深圳地铁路网客运量381.4万，南京地铁客运量226.9万，武汉地铁客运量188.58万，成都地铁客运量183.24万，西安地铁客运量102万。,2016/8/16,8,15,周一,1039.6,381.4,1161.37, ,188.58,738.2, , ,226.9,183.24,102, 
#地铁客流排行榜# 8月14日（周日），北京地铁路网客运量781.3万，上海地铁客运量681.6万，广州地铁客运量644.7万，深圳地铁路网客运量340.24万，南京地铁客运量171.7万，武汉地铁客运量152.47万，成都地铁客运量130.95万，西安地铁客运量87.88万。,2016/8/15,8,14,周日,681.6,340.24,781.3, ,152.47,644.7, , ,171.7,130.95,87.88, 
#地铁客流排行榜# 8月13日（周六），北京地铁路网客运量823.17万，上海地铁客运量753.2万，广州地铁客运量678.4万，深圳地铁路网客运量331.67万，南京地铁客运量189.6万，武汉地铁客运量164.1万，成都地铁客运量139.44万，西安地铁客运量92.73万。,2016/8/14,8,13,周六,753.2,331.67,823.17, ,164.1,678.4, , ,189.6,139.44,92.73, 
#地铁客流排行榜# 8月12日（周五），北京地铁路网客运量1190万，上海地铁客运量1068万，广州地铁客运量700万，深圳地铁路网客运量393万，南京地铁客运量232.5万，武汉地铁客运量193万，成都地铁客运量187.6万，西安地铁客运量106.3万。,2016/8/13,8,12,周五,1068,393,1190, ,193,700, , ,232.5,187.6,106.3, 
#地铁客流排行榜# 8月11日（周四），北京地铁路网客运量1178.78万，上海地铁客运量1038.2万，广州地铁客运量741.9万，深圳地铁路网客运量387.3万，南京地铁客运量222.4万，武汉地铁客运量186.66万，成都地铁客运量180.52万，西安地铁客运量101.8万。,2016/8/12,8,11,周四,1038.2,387.3,1178.78, ,186.66,741.9, , ,222.4,180.52,101.8, 
#地铁客流排行榜# 8月10日（周三），北京地铁路网客运量1199.3万，上海地铁客运量1048万，广州地铁客运量726.4万，深圳地铁路网客运量362万，南京地铁客运量226.3万，武汉地铁客运量193.64万，成都地铁客运量184.96万，西安地铁客运量103.49万。,2016/8/11,8,10,周三,1048,362,1199.3, ,193.64,726.4, , ,226.3,184.96,103.49, 
#地铁客流排行榜# 8月9日（周二），北京地铁路网客运量1250.63万，上海地铁客运量1085.7万，广州地铁客运量780.6万，深圳地铁路网客运量395.43万，南京地铁客运量241.4万，武汉地铁客运量212.3万，成都地铁客运量197.16万，西安地铁客运量113.72万。昨日七夕，客流增幅较大，其中成都创历史新高。,2016/8/10,8,9,周二,1085.7,395.43,1250.63, ,212.3,780.6, , ,241.4,197.16,113.72, 
#地铁客流排行榜# 8月8日（周一），北京地铁路网客运量1204.03万，上海地铁客运量1054万，广州地铁客运量751.5万，深圳地铁路网客运量382万，南京地铁客运量231.9万，武汉地铁客运量192.1万，成都地铁客运量186.19万，西安地铁客运量106.06万。,2016/8/9,8,8,周一,1054,382,1204.03, ,192.1,751.5, , ,231.9,186.19,106.06, 
#地铁客流排行榜# 8月7日（周日），北京地铁路网客运量为748.89万，上海地铁客运量为692万，广州地铁客运量为662.5万，深圳地铁路网客运量342.17万，南京地铁客运量为178.1万，武汉地铁客运量167.99万，成都地铁客运量134.64万，西安地铁客运量95.32万。,2016/8/8,8,7,周日,692,342.17,748.89, ,167.99,662.5, , ,178.1,134.64,95.32, 
#地铁客流排行榜# 8月6日（周六），北京地铁路网客运量为780.88万，上海地铁客运量为765.3万，广州地铁客运量为682.6万，深圳地铁路网客运量354.62万，南京地铁客运量为190.8万，武汉地铁客运量169.22万，成都地铁客运量145.3万，西安地铁客运量94.84万。,2016/8/7,8,6,周六,765.3,354.62,780.88, ,169.22,682.6, , ,190.8,145.3,94.84, 
#地铁客流排行榜# 8月5日（周五），北京地铁路网客运量为1214.63万，上海地铁客运量为1087.7万，广州地铁客运量为768.8万，深圳地铁路网客运量404.21万，南京地铁客运量为236万，武汉地铁客运量199.49万，成都地铁客运量188.05万，西安地铁客运量107.35万。,2016/8/6,8,5,周五,1087.7,404.21,1214.63, ,199.49,768.8, , ,236,188.05,107.35, 
#地铁客流排行榜# 8月4日（周四），北京地铁路网客运量为1177.78万，上海地铁客运量为1024万，广州地铁客运量为734.5万，深圳地铁路网客运量为369.6万，南京地铁客运量为224.3万，成都地铁客运量178.9万，武汉地铁客运量174.8万，西安地铁客运量101.47万。,2016/8/5,8,4,周四,1024,369.6,1177.78, ,174.8,734.5, , ,224.3,178.9,101.47, 
#地铁客流排行榜# 8月3日（周三），北京地铁路网客运量为1190.9万，上海地铁客运量为1038.7万，广州地铁客运量为705.5万，深圳地铁路网客运量374.07万，南京地铁客运量为222.9万，武汉地铁客运量190.92万，成都地铁客运量177.62万，西安地铁客运量102.07万。,2016/8/4,8,3,周三,1038.7,374.07,1190.9, ,190.92,705.5, , ,222.9,177.62,102.07, 
