 #地铁客流排行榜# 2月20日（正月十三，周六），上海地铁客运量为702.8万，北京地铁路网客运量为667.93万，广州地铁客运量为596.4万， 深圳地铁路网客运量262.1万，南京地铁客运量为224万，武汉地铁客运量为182.33万，成都地铁客运量为115.56万。,2016-02-21 22:52:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月19日（正月十二，周四五），北京地铁路网客运量为1001.48万，上海地铁客运量为932.5万，广州地铁客运量为583.5万， 深圳地铁路网客运量290.69万，南京地铁客运量为237.3万，武汉地铁客运量为190.67万，成都地铁客运量为140.85万。,2016-02-20 14:03:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月18日（正月十一，周四），北京地铁路网客运量为963.35万，上海地铁客运量为902.9万，广州地铁客运量为606.4万， 深圳地铁路网客运量288.47万，南京地铁客运量为231.7万，武汉地铁客运量为184.85万，成都地铁客运量为132.04万。节后稳步回升，快接近正常工作日水平了。,2016-02-19 10:58:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月17日（年初十，周三），北京地铁路网客运量为934.62万，上海地铁客运量为876万，广州地铁客运量为589.3万， 深圳地铁路网客运量257.11万，南京地铁客运量为217.4万，武汉地铁客运量为183.27万，成都地铁客运量为132.25万。,2016-02-18 10:07:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月16日（年初九，周二），北京地铁路网客运量为870.34万，上海地铁客运量为831.6万，广州地铁客运量为560.7万， 深圳地铁路网客运量250.76万，南京地铁客运量为205.2万，武汉地铁客运量为181.81万，成都地铁客运量为128.2万。,2016-02-17 09:26:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月15日（年初八，周一），北京地铁路网客运量为806.08万，上海地铁客运量为771.1万，广州地铁客运量为533.5万， 深圳地铁路网客运量235.93万，南京地铁客运量为193.3万，武汉地铁客运量为176.84万，成都地铁客运量为120.99万。,2016-02-16 09:18:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月14日（年初七），北京地铁路网客运量为659.17万，上海地铁客运量为650.2万，广州地铁客运量为499.9万， 深圳地铁路网客运量189.61万，南京地铁客运量为178.8万，武汉地铁客运量为165.8万，成都地铁客运量为102.29万。,2016-02-15 09:44:00 来自 微博 weibo.com
 #李大霄的红包# ㄟ( ▔; ▔ )ㄏ这几天最开心的事——我抽到了 @李大霄  和 @堆金网理财-Jason  的红包！新的一年肯定有财运～不信你试试  O 李大霄 的红包 ,2016-02-15 09:07:00 来自 粉丝红包
 #荣耀手机的红包# 跟我一起唱：恭喜恭喜恭喜我呀，恭喜恭喜我~我刚抢到 @荣耀手机  的新年红包喔！不要太幸运，你也试试吧~  O 荣耀手机 的红包 ,2016-02-14 13:34:00 来自 粉丝红包
 #地铁客流排行榜# 2月13日（年初六），北京地铁路网客运量为434.3万，上海地铁客运量为434万，广州地铁客运量为399.2万， 深圳地铁路网客运量151.15万，南京地铁客运量为118万，武汉地铁客运量为130.65万，成都地铁客运量为80.13万。,2016-02-14 11:39:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月12日（年初五），上海地铁客运量为462.9万，北京地铁路网客运量为437.64万，广州地铁客运量为360.1万， 深圳地铁路网客运量129.35万，南京地铁客运量为116.2万，武汉地铁客运量为116万，成都地铁客运量为71.63万。,2016-02-13 11:53:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月11日（年初四），上海地铁客运量为405.7万，北京地铁路网客运量为395.29万，广州地铁客运量为330.1万， 深圳地铁路网客运量115.71万，南京地铁客运量为102.5万，武汉地铁客运量为96.21万，成都地铁客运量为65.67万。,2016-02-12 10:51:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月10日（年初三），上海地铁客运量为457.2万，北京地铁路网客运量为396.57万，广州地铁客运量为320万， 深圳地铁路网客运量113.67万，南京地铁客运量为118.4万，武汉地铁客运量为87.22万，成都地铁客运量为61.1万。,2016-02-11 10:39:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月9日（年初二），上海地铁客运量为452.4万，北京地铁路网客运量为349.08万，广州地铁客运量为321万， 深圳地铁路网客运量123.81万，南京地铁客运量为103.3万，武汉地铁客运量为82.11万，成都地铁客运量为55.3万。,2016-02-10 10:51:00 来自 华为Ascend Mate7
 #曹井升的红包# 跟我一起唱：恭喜恭喜恭喜我呀，恭喜恭喜我~我刚抢到曹井升 的新年红包喔，就喜欢这么有诚意的新年祝福！  O 曹井升 的红包 ,2016-02-09 17:38:00 来自 粉丝红包
 #地铁客流排行榜# 2月8日（年初一），上海地铁客运量为382.8万，广州地铁客运量为319.8万， 北京地铁路网客运量为258.12万， 深圳地铁路网客运量113.12万，南京地铁客运量为77.1万，武汉地铁客运量为79.53万，成都地铁客运量为54.53万。,2016-02-09 13:25:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月7日（除夕），上海地铁客运量为281.4万，广州地铁客运量为260.3万， 北京地铁路网客运量为181.87万， 深圳地铁路网客运量79.91万，南京地铁客运量为55.6万，武汉地铁客运量为58.19万.客流降至全年最低，翌日开始反弹。,2016-02-09 13:22:00 来自 华为Ascend Mate7
值得借鉴,2016-02-09 12:11:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月6日（年廿八），上海地铁客运量为487.14万，广州地铁客运量为372.3万， 北京地铁路网客运量为371.49万， 深圳地铁路网客运量129.2万，南京地铁客运量为109.2万，武汉地铁客运量为106.49万，成都地铁客运量为66.14万。均继续大幅下降至正常值一半以下。,2016-02-07 09:37:00 来自 华为Ascend Mate7
// @广州铁路 : 受台湾高雄6.7级地震影响，2月6日，D907、D935、D905、D6201、D6203、D6571、D6205、G302、G5252、G1632、G9532、D6403、D6207、D3102、D6405、D6209等列车晚点。铁路部门提醒旅客，请及时关注及车站广播公告，获取最新的列车运行信息，安排好出行时间。,2016-02-06 10:30:00 来自 微博 weibo.com
